
('Time:Fri Oct  5 13:02:50 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:52 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:57:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:04 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:52 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:58:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:04 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:10 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:16 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:22 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:28 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:34 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:40 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:46 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:52 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 16:59:58 2018  (try freeing , clean the Expired file', '(used:', '54.8%', 'free:', '46%)')
('Time:Sun Oct  7 17:00:10 2018  (清除中 , 清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:00:16 2018  (清除中 , 清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:00:22 2018  (清除中 , 清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:03:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:03:46 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:03:52 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:03:58 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:04 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:10 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:16 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:22 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:28 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:34 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:04:46 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:07:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:08:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:09:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:10:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:11:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:12:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:13:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:14:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:15:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:16:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:17:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:18:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:19:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:20:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:21:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:22:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:23:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:24:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:25:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:26:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:27:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:28:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:29:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:30:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:31:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:32:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:33:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:34:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:35:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:36:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:37:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:38:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:39:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:40:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:41:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:42:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:43:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:44:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:45:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:46:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:47:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:48:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:49:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:50:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:51:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:52:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:53:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:54:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:55:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:56:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:57:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:58:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 17:59:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:00:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:01:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:02:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:03:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:04:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:05:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:06:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:07:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:08:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:09:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:10:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:11:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Sun Oct  7 18:12:07 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:07:58 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:25:37 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:25:38 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:25:39 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:26:37 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:26:38 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:26:39 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:27:37 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:27:38 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:27:39 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:33:11 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:33:12 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:33:13 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:33:41 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:33:42 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:33:43 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:34:37 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:34:38 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:34:39 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:34:52 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:34:59 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:00 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:01 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:10 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:11 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:17 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:18 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:25 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:26 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:32 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:33 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:41 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:35:42 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:36:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:36:41 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:36:42 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:37:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:37:41 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:37:42 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:38:15 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:38:16 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:38:17 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:38:18 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:39:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:40:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:40:35 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:42:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:43:40 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:45:13 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:46:17 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:47:20 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:48:23 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:49:26 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:50:29 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:51:32 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:58:38 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 04:59:41 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:00:44 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:01:47 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:02:50 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:03:53 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:04:56 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:05:59 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:07:02 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:08:05 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:09:08 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:10:11 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:11:14 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:12:17 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:13:20 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:14:24 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:15:27 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:16:30 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:17:33 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:18:36 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:19:39 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:20:42 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:21:45 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:22:48 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:23:51 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:24:54 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:25:57 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:27:00 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:28:03 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
('Time:Mon Oct  8 05:29:06 2018  (嘗試清除中 ,只清除3個月之前檔案', '(使用空間:', '54.8%', '剩餘空間:', '46%)')
